abs_x,abs_y,alfa
45,45,0
45,44.94,0
45,44.81,0
45,44.63,0
45,44.38,0
45,44.06,0
45,43.69,0
45,43.25,0
45,42.75,0
45,42.19,0
45,41.94,0
45,41.25,0
45,40.5,0
45,39.69,0
45,38.81,0
45,37.88,0
45,37.63,0
45,37.38,0
45,37.13,0
45,36.88,0
45,36.63,0
45,36.38,0
45,36.13,0
45,35.88,0
45,35.63,0
45,35.38,0
45,35.13,0
45,34.88,0
45,34.63,7.5
44.99,34.39,15
44.97,34.15,22.5
44.94,33.94,30
44.89,33.74,37.5
44.81,33.56,45
44.71,33.41,52.5
44.59,33.29,60
44.43,33.19,67.5
44.25,33.13,75
44.03,33.09,82.5
43.78,33.09,90
43.53,33.09,90
43.28,33.09,90
43.03,33.09,90
42.78,33.09,90
42.53,33.09,90
42.28,33.09,90
42.03,33.09,90
41.78,33.09,90
41.53,33.09,90
41.28,33.09,90
41.03,33.09,90
40.78,33.09,90
40.53,33.09,90
40.28,33.09,90
40.03,33.09,90
39.78,33.09,90
39.53,33.09,90
39.28,33.09,90
39.03,33.09,90
38.78,33.09,90
38.53,33.09,90
38.28,33.09,90
38.03,33.09,90
37.78,33.09,90
37.53,33.09,90
37.28,33.09,90
37.03,33.09,90
36.78,33.09,90
36.53,33.09,90
36.28,33.09,90
36.03,33.09,90
35.78,33.09,90
35.53,33.09,90
35.28,33.09,90
35.03,33.09,90
34.78,33.09,90
34.53,33.09,90
34.28,33.09,90
34.03,33.09,90
33.78,33.09,90
33.53,33.09,90
33.28,33.09,90
33.03,33.09,90
32.78,33.09,90
32.53,33.09,90
32.28,33.09,90
32.03,33.09,90
31.78,33.09,90
31.53,33.09,90
31.28,33.09,90
31.03,33.09,90
30.78,33.09,90
30.53,33.09,90
30.28,33.09,90
30.03,33.09,90
29.78,33.09,90
29.53,33.09,90
29.28,33.09,90
29.03,33.09,90
28.78,33.09,90
28.53,33.09,90
28.28,33.09,90
28.03,33.09,90
27.78,33.09,90
27.53,33.09,90
27.28,33.09,90
27.03,33.09,90
26.78,33.09,90
26.53,33.09,90
26.28,33.09,90
26.03,33.09,90
25.78,33.09,90
25.53,33.09,90
25.28,33.09,90
25.03,33.09,90
24.78,33.09,90
24.53,33.09,90
24.28,33.09,90
24.03,33.09,90
23.78,33.09,90
23.53,33.09,90
23.28,33.09,90
23.03,33.09,90
22.78,33.09,90
22.53,33.09,90
22.28,33.09,90
22.03,33.09,90
21.78,33.09,90
21.53,33.09,90
21.28,33.09,90
21.03,33.09,90
20.78,33.09,90
20.53,33.09,90
20.28,33.09,90
20.03,33.09,90
19.78,33.09,90
19.53,33.09,90
19.28,33.09,90
19.03,33.09,90
18.78,33.09,90
18.53,33.09,90
18.28,33.09,90
18.03,33.09,90
17.78,33.09,90
17.53,33.09,90
17.28,33.09,90
17.03,33.09,90
16.78,33.09,90
16.53,33.09,90
16.28,33.09,90
16.03,33.09,90
15.78,33.09,90
15.53,33.09,90
15.28,33.09,90
15.03,33.09,90
14.78,33.09,82.5
14.54,33.08,75
14.31,33.06,67.5
14.1,33.03,60
13.9,32.98,52.5
13.72,32.9,45
13.57,32.81,37.5
13.44,32.68,30
13.35,32.53,22.5
13.28,32.34,15
13.25,32.13,7.5
13.25,31.88,0
13.25,31.63,0
13.25,31.38,0
13.25,31.13,0
13.25,30.88,0
13.25,30.63,0
13.25,30.38,0
13.25,30.13,0
13.25,29.88,0
13.25,29.63,0
13.25,29.38,0
13.25,29.13,0
13.25,28.88,0
13.25,28.63,0
13.25,28.38,0
13.25,28.13,0
13.25,27.88,0
13.25,27.63,0
13.25,27.38,0
